calltry,date,time,duration,lastprompt,UID,village,Treatment,month,date,year
1,8/24/2011,8/24/11 13:51,208,thankyou.wav,1019036,LAKHCHOKIYA,1,8,24,11
1,8/24/2011,8/24/11 13:51,215,thankyou.wav,1019032,LAKHCHOKIYA,2,8,24,11
1,8/24/2011,8/24/11 14:00,N/A,N/A,1022009,MOKASAR,2,8,24,11
1,8/24/2011,8/24/11 14:00,62,thankyou.wav,1019038,LAKHCHOKIYA,1,8,24,11
1,8/24/2011,8/24/11 14:00,215,thankyou.wav,1022011,MOKASAR,1,8,24,11
1,8/24/2011,8/24/11 14:00,N/A,N/A,1022007,MOKASAR,1,8,24,11
1,8/24/2011,8/24/11 14:00,215,thankyou.wav,1019040,LAKHCHOKIYA,1,8,24,11
1,8/24/2011,8/24/11 14:00,215,thankyou.wav,1022010,MOKASAR,2,8,24,11
1,8/24/2011,8/24/11 14:00,N/A,N/A,1022003,MOKASAR,2,8,24,11
1,8/24/2011,8/24/11 14:00,214,thankyou.wav,1022001,MOKASAR,2,8,24,11
1,8/24/2011,8/24/11 14:00,212,thankyou.wav,1022004,MOKASAR,2,8,24,11
1,8/24/2011,8/24/11 14:01,215,thankyou.wav,1022012,MOKASAR,2,8,24,11
1,8/24/2011,8/24/11 14:10,206,thankyou.wav,1022023,MOKASAR,1,8,24,11
1,8/24/2011,8/24/11 14:10,N/A,N/A,1022019,MOKASAR,1,8,24,11
1,8/24/2011,8/24/11 14:10,N/A,N/A,1022028,MOKASAR,1,8,24,11
1,8/24/2011,8/24/11 14:10,215,thankyou.wav,1022013,MOKASAR,1,8,24,11
1,8/24/2011,8/24/11 14:10,215,thankyou.wav,1022027,MOKASAR,2,8,24,11
1,8/24/2011,8/24/11 14:10,215,thankyou.wav,1022026,MOKASAR,2,8,24,11
1,8/24/2011,8/24/11 14:10,215,thankyou.wav,1022025,MOKASAR,2,8,24,11
1,8/24/2011,8/24/11 14:10,N/A,N/A,1022014,MOKASAR,1,8,24,11
1,8/24/2011,8/24/11 14:10,N/A,N/A,1022020,MOKASAR,2,8,24,11
1,8/24/2011,8/24/11 14:11,214,thankyou.wav,1022030,MOKASAR,1,8,24,11
1,8/24/2011,8/24/11 14:20,148,08-24-2011_105411.mp3,1023009,MOTA KANGHASAR,2,8,24,11
1,8/24/2011,8/24/11 14:20,N/A,N/A,1023010,MOTA KANGHASAR,2,8,24,11
1,8/24/2011,8/24/11 14:20,N/A,N/A,1023020,MOTA KANGHASAR,2,8,24,11
1,8/24/2011,8/24/11 14:20,N/A,N/A,1023004,MOTA KANGHASAR,2,8,24,11
1,8/24/2011,8/24/11 14:20,212,thankyou.wav,1022033,MOKASAR,1,8,24,11
1,8/24/2011,8/24/11 14:20,N/A,N/A,1023019,MOTA KANGHASAR,2,8,24,11
1,8/24/2011,8/24/11 14:20,N/A,N/A,1023006,MOTA KANGHASAR,1,8,24,11
